nome,salario,profissão,cidade,estado,target
Juliana,5521.99,Advogado,Curitiba,PR,{"nome": "Juliana", "salario": 5521.99, "profissão": "Advogado", "cidade": "Curitiba", "estado": "PR"}
Gabriel,9928.56,Analista,Porto Alegre,RS,{"nome": "Gabriel", "salario": 9928.56, "profissão": "Analista", "cidade": "Porto Alegre", "estado": "RS"}
Igor,15742.86,Engenheiro,São Paulo,SP,{"nome": "Igor", "salario": 15742.86, "profissão": "Engenheiro", "cidade": "São Paulo", "estado": "SP"}
Ana,5640.03,Engenheiro,São Paulo,SP,{"nome": "Ana", "salario": 5640.03, "profissão": "Engenheiro", "cidade": "São Paulo", "estado": "SP"}
Gabriel,6462.5,Cientista de Dados,Porto Alegre,RS,{"nome": "Gabriel", "salario": 6462.5, "profissão": "Cientista de Dados", "cidade": "Porto Alegre", "estado": "RS"}
Igor,6214.57,Médico,Fortaleza,CE,{"nome": "Igor", "salario": 6214.57, "profissão": "Médico", "cidade": "Fortaleza", "estado": "CE"}
Igor,8356.26,Cientista de Dados,Recife,PE,{"nome": "Igor", "salario": 8356.26, "profissão": "Cientista de Dados", "cidade": "Recife", "estado": "PE"}
Carlos,11967.94,Médico,Recife,PE,{"nome": "Carlos", "salario": 11967.94, "profissão": "Médico", "cidade": "Recife", "estado": "PE"}
Carlos,16287.13,Professor,,,{"nome": "Carlos", "salario": 16287.13, "profissão": "Professor"}
Gabriel,13656.1,Engenheiro,Rio de Janeiro,RJ,{"nome": "Gabriel", "salario": 13656.1, "profissão": "Engenheiro", "cidade": "Rio de Janeiro", "estado": "RJ"}
Carlos,12358.92,Analista,,,{"nome": "Carlos", "salario": 12358.92, "profissão": "Analista"}
Juliana,8278.17,Gerente,Salvador,BA,{"nome": "Juliana", "salario": 8278.17, "profissão": "Gerente", "cidade": "Salvador", "estado": "BA"}
Carlos,17653.49,Analista,,,{"nome": "Carlos", "salario": 17653.49, "profissão": "Analista"}
Fernanda,8309.03,Designer,,,{"nome": "Fernanda", "salario": 8309.03, "profissão": "Designer"}
Helena,4929.97,Designer,Rio de Janeiro,RJ,{"nome": "Helena", "salario": 4929.97, "profissão": "Designer", "cidade": "Rio de Janeiro", "estado": "RJ"}
Ana,11690.07,Médico,Fortaleza,CE,{"nome": "Ana", "salario": 11690.07, "profissão": "Médico", "cidade": "Fortaleza", "estado": "CE"}
Helena,3048.65,Gerente,Porto Alegre,RS,{"nome": "Helena", "salario": 3048.65, "profissão": "Gerente", "cidade": "Porto Alegre", "estado": "RS"}
Carlos,10997.31,Engenheiro,,,{"nome": "Carlos", "salario": 10997.31, "profissão": "Engenheiro"}
Daniela,10389.37,Analista,São Paulo,SP,{"nome": "Daniela", "salario": 10389.37, "profissão": "Analista", "cidade": "São Paulo", "estado": "SP"}
Igor,19028.44,Cientista de Dados,,,{"nome": "Igor", "salario": 19028.44, "profissão": "Cientista de Dados"}
Carlos,18241.54,Analista,Rio de Janeiro,RJ,{"nome": "Carlos", "salario": 18241.54, "profissão": "Analista", "cidade": "Rio de Janeiro", "estado": "RJ"}
Eduardo,18082.4,Analista,,,{"nome": "Eduardo", "salario": 18082.4, "profissão": "Analista"}
Ana,10025.71,Advogado,,,{"nome": "Ana", "salario": 10025.71, "profissão": "Advogado"}
Fernanda,18638.14,Engenheiro,São Paulo,SP,{"nome": "Fernanda", "salario": 18638.14, "profissão": "Engenheiro", "cidade": "São Paulo", "estado": "SP"}
